sample_alias,sample_name,environment,sample_accession,run_accession,ebi_fq_1,ebi_fq_2,fq_1,fq_2
RSZAXPI002463-96_2,C14,saliva,SAMEA2738033,ERR589388,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589388/ERR589388_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589388/ERR589388_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH14_saliva.RSZAXPI002463-96_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH14_saliva.RSZAXPI002463-96_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002464-97,C15H,saliva,SAMEA2738034,ERR589391,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589391/ERR589391_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589391/ERR589391_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH15_saliva.RSZAXPI002464-97.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH15_saliva.RSZAXPI002464-97.clean.trim.rmhost.2.fq.gz
RSZAXPI002464-97_2,C15H,saliva,SAMEA2738035,ERR589390,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589390/ERR589390_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589390/ERR589390_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH15_saliva.RSZAXPI002464-97_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH15_saliva.RSZAXPI002464-97_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002465-98,C18,saliva,SAMEA2738036,ERR589393,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589393/ERR589393_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589393/ERR589393_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH18_saliva.RSZAXPI002465-98.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH18_saliva.RSZAXPI002465-98.clean.trim.rmhost.2.fq.gz
RSZAXPI002465-98_2,C18,saliva,SAMEA2738037,ERR589392,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589392/ERR589392_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589392/ERR589392_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH18_saliva.RSZAXPI002465-98_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH18_saliva.RSZAXPI002465-98_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002466-99,C19,saliva,SAMEA2738038,ERR589395,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589395/ERR589395_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589395/ERR589395_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH19_saliva.RSZAXPI002466-99.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH19_saliva.RSZAXPI002466-99.clean.trim.rmhost.2.fq.gz
RSZAXPI002466-99_2,C19,saliva,SAMEA2738039,ERR589394,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589394/ERR589394_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589394/ERR589394_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH19_saliva.RSZAXPI002466-99_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH19_saliva.RSZAXPI002466-99_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002467-100,C24,saliva,SAMEA2738040,ERR589397,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589397/ERR589397_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589397/ERR589397_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH24_saliva.RSZAXPI002467-100.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH24_saliva.RSZAXPI002467-100.clean.trim.rmhost.2.fq.gz
RSZAXPI002467-100_2,C24,saliva,SAMEA2738041,ERR589396,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589396/ERR589396_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589396/ERR589396_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH24_saliva.RSZAXPI002467-100_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH24_saliva.RSZAXPI002467-100_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002468-102,C26,saliva,SAMEA2738042,ERR589399,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589399/ERR589399_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589399/ERR589399_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH26_saliva.RSZAXPI002468-102.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH26_saliva.RSZAXPI002468-102.clean.trim.rmhost.2.fq.gz
RSZAXPI002468-102_2,C26,saliva,SAMEA2738043,ERR589398,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589398/ERR589398_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589398/ERR589398_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH26_saliva.RSZAXPI002468-102_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH26_saliva.RSZAXPI002468-102_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002469-104,C27,saliva,SAMEA2738044,ERR589401,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589401/ERR589401_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589401/ERR589401_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH27_saliva.RSZAXPI002469-104.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH27_saliva.RSZAXPI002469-104.clean.trim.rmhost.2.fq.gz
RSZAXPI002469-104_2,C27,saliva,SAMEA2738045,ERR589400,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589400/ERR589400_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589400/ERR589400_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH27_saliva.RSZAXPI002469-104_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH27_saliva.RSZAXPI002469-104_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002470-105,C29,saliva,SAMEA2738046,ERR589403,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589403/ERR589403_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589403/ERR589403_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH29_saliva.RSZAXPI002470-105.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH29_saliva.RSZAXPI002470-105.clean.trim.rmhost.2.fq.gz
RSZAXPI002470-105_2,C29,saliva,SAMEA2738047,ERR589402,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589402/ERR589402_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589402/ERR589402_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH29_saliva.RSZAXPI002470-105_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH29_saliva.RSZAXPI002470-105_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002471-106,C31,saliva,SAMEA2738048,ERR589405,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589405/ERR589405_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589405/ERR589405_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH31_saliva.RSZAXPI002471-106.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH31_saliva.RSZAXPI002471-106.clean.trim.rmhost.2.fq.gz
RSZAXPI002471-106_2,C31,saliva,SAMEA2738049,ERR589404,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589404/ERR589404_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589404/ERR589404_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH31_saliva.RSZAXPI002471-106_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH31_saliva.RSZAXPI002471-106_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002472-107,C32,saliva,SAMEA2738050,ERR589407,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589407/ERR589407_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589407/ERR589407_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH32_saliva.RSZAXPI002472-107.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH32_saliva.RSZAXPI002472-107.clean.trim.rmhost.2.fq.gz
