sample_alias,sample_name,environment,sample_accession,run_accession,ebi_fq_1,ebi_fq_2,fq_1,fq_2
RSZAXPI002636-95,D64_G,dental,SAMEA2737938,ERR589479,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589479/ERR589479_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589479/ERR589479_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA64-3_tooth.RSZAXPI002636-95.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA64-3_tooth.RSZAXPI002636-95.clean.trim.rmhost.2.fq.gz
RSZAXPI002637-96,D23_N,dental,SAMEA2737939,ERR589480,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589480/ERR589480_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589480/ERR589480_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA023-3_tooth.RSZAXPI002637-96.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA023-3_tooth.RSZAXPI002637-96.clean.trim.rmhost.2.fq.gz
RSZAXPI002638-97,D55_M,dental,SAMEA2737940,ERR589481,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589481/ERR589481_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589481/ERR589481_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA55-3_tooth.RSZAXPI002638-97.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA55-3_tooth.RSZAXPI002638-97.clean.trim.rmhost.2.fq.gz
RSZAXPI002639-98,D57_M,dental,SAMEA2737941,ERR589482,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589482/ERR589482_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589482/ERR589482_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA057-3_tooth.RSZAXPI002639-98.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA057-3_tooth.RSZAXPI002639-98.clean.trim.rmhost.2.fq.gz
RSZAXPI002640-100,D1_N,dental,SAMEA2737942,ERR589483,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589483/ERR589483_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589483/ERR589483_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA001-3_tooth.RSZAXPI002640-100.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA001-3_tooth.RSZAXPI002640-100.clean.trim.rmhost.2.fq.gz
RSZAXPI002641-101,D122_N,dental,SAMEA2737943,ERR589484,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589484/ERR589484_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589484/ERR589484_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA122-3_tooth.RSZAXPI002641-101.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA122-3_tooth.RSZAXPI002641-101.clean.trim.rmhost.2.fq.gz
RSZAXPI002642-106,D122_N,faeces,SAMEA2737655,ERR589485,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589485/ERR589485_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589485/ERR589485_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA122-3_Posttreatment.RSZAXPI002642-106.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA122-3_Posttreatment.RSZAXPI002642-106.clean.trim.rmhost.2.fq.gz
RSZAXPI002643-107,D113_G,saliva,SAMEA2738093,ERR589486,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589486/ERR589486_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589486/ERR589486_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA113-3_saliva.RSZAXPI002643-107.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA113-3_saliva.RSZAXPI002643-107.clean.trim.rmhost.2.fq.gz
RSZAXPI002644-108,D118_M,saliva,SAMEA2738094,ERR589487,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589487/ERR589487_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589487/ERR589487_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA118-3_saliva.RSZAXPI002644-108.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA118-3_saliva.RSZAXPI002644-108.clean.trim.rmhost.2.fq.gz
RSZAXPI002645-109,D135_G,saliva,SAMEA2738095,ERR589488,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589488/ERR589488_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589488/ERR589488_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA135-3_saliva.RSZAXPI002645-109.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA135-3_saliva.RSZAXPI002645-109.clean.trim.rmhost.2.fq.gz
RSZAXPI002646-113,D138_M,saliva,SAMEA2738096,ERR589489,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589489/ERR589489_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589489/ERR589489_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA138-3_saliva.RSZAXPI002646-113.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA138-3_saliva.RSZAXPI002646-113.clean.trim.rmhost.2.fq.gz
RSZAXPI002647-129,D179_G,saliva,SAMEA2738097,ERR589490,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589490/ERR589490_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589490/ERR589490_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA179-3_saliva.RSZAXPI002647-129.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA179-3_saliva.RSZAXPI002647-129.clean.trim.rmhost.2.fq.gz
RSZAXPI002648-133,D182_M,saliva,SAMEA2738098,ERR589491,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589491/ERR589491_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589491/ERR589491_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA182-3_saliva.RSZAXPI002648-133.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA182-3_saliva.RSZAXPI002648-133.clean.trim.rmhost.2.fq.gz
RSZAXPI002649-140,D51_M_3,saliva,SAMEA2738099,ERR589492,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589492/ERR589492_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589492/ERR589492_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA51-3_saliva.RSZAXPI002649-140.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA51-3_saliva.RSZAXPI002649-140.clean.trim.rmhost.2.fq.gz
RSZAXPI002650-142,D54_N,saliva,SAMEA2738100,ERR589493,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589493/ERR589493_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589493/ERR589493_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA54-3_saliva.RSZAXPI002650-142.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA54-3_saliva.RSZAXPI002650-142.clean.trim.rmhost.2.fq.gz
RSZAXPI002651-158,D1_N,saliva,SAMEA2738101,ERR589494,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589494/ERR589494_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589494/ERR589494_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA001-3_saliva.RSZAXPI002651-158.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA001-3_saliva.RSZAXPI002651-158.clean.trim.rmhost.2.fq.gz
RSZAXPI002652-169,D155_G,saliva,SAMEA2738102,ERR589495,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589495/ERR589495_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589495/ERR589495_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA155-3_saliva.RSZAXPI002652-169.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA155-3_saliva.RSZAXPI002652-169.clean.trim.rmhost.2.fq.gz
RSZAXPI002653-13,D158_M,saliva,SAMEA2738103,ERR589496,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589496/ERR589496_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589496/ERR589496_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA158-3_saliva.RSZAXPI002653-13.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA158-3_saliva.RSZAXPI002653-13.clean.trim.rmhost.2.fq.gz
RSZAXPI002654-14,D122_N,saliva,SAMEA2738104,ERR589497,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589497/ERR589497_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589497/ERR589497_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA122-3_saliva.RSZAXPI002654-14.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA122-3_saliva.RSZAXPI002654-14.clean.trim.rmhost.2.fq.gz
RSZAXPI002655-15,D240_M,dental,SAMEA2737944,ERR589498,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589498/ERR589498_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589498/ERR589498_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA240-3_tooth.RSZAXPI002655-15.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA240-3_tooth.RSZAXPI002655-15.clean.trim.rmhost.2.fq.gz
RSZAXPI002656-16,D157_N,dental,SAMEA2737945,ERR589499,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589499/ERR589499_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589499/ERR589499_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA157-3_tooth.RSZAXPI002656-16.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA157-3_tooth.RSZAXPI002656-16.clean.trim.rmhost.2.fq.gz
RSZAXPI002657-17,D225_N,dental,SAMEA2737946,ERR589500,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589500/ERR589500_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589500/ERR589500_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA225-3_tooth.RSZAXPI002657-17.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA225-3_tooth.RSZAXPI002657-17.clean.trim.rmhost.2.fq.gz
RSZAXPI002658-45,D235_M,faeces,SAMEA2737656,ERR589501,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589501/ERR589501_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589501/ERR589501_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/235_Posttreatment.RSZAXPI002658-45.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/235_Posttreatment.RSZAXPI002658-45.clean.trim.rmhost.2.fq.gz
RSZAXPI002659-46,D169_G,faeces,SAMEA2737657,ERR589502,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589502/ERR589502_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589502/ERR589502_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/169_Posttreatment.RSZAXPI002659-46.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/169_Posttreatment.RSZAXPI002659-46.clean.trim.rmhost.2.fq.gz
RSZAXPI002660-47,D264_M,faeces,SAMEA2737658,ERR589503,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589503/ERR589503_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589503/ERR589503_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/264_Posttreatment.RSZAXPI002660-47.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/264_Posttreatment.RSZAXPI002660-47.clean.trim.rmhost.2.fq.gz
RSZAXPI002661-50,D88_G_6,faeces,SAMEA2737659,ERR589504,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589504/ERR589504_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589504/ERR589504_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/88_Posttreatment.RSZAXPI002661-50.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/88_Posttreatment.RSZAXPI002661-50.clean.trim.rmhost.2.fq.gz
RSZAXPI002662-56,D266_G,faeces,SAMEA2737660,ERR589505,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589505/ERR589505_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589505/ERR589505_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/266_Posttreatment.RSZAXPI002662-56.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/266_Posttreatment.RSZAXPI002662-56.clean.trim.rmhost.2.fq.gz
RSZAXPI002663-57,D47_N,faeces,SAMEA2737661,ERR589506,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589506/ERR589506_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589506/ERR589506_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/47_Posttreatment.RSZAXPI002663-57.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/47_Posttreatment.RSZAXPI002663-57.clean.trim.rmhost.2.fq.gz
RSZAXPI002664-33,D212_M,faeces,SAMEA2737662,ERR589507,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589507/ERR589507_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589507/ERR589507_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA212-3_Posttreatment.RSZAXPI002664-33.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA212-3_Posttreatment.RSZAXPI002664-33.clean.trim.rmhost.2.fq.gz
RSZAXPI002665-34,D198_N,faeces,SAMEA2737663,ERR589508,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589508/ERR589508_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589508/ERR589508_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/198_Posttreatment.RSZAXPI002665-34.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/198_Posttreatment.RSZAXPI002665-34.clean.trim.rmhost.2.fq.gz
RSZAXPI002666-35,D132_M,faeces,SAMEA2737664,ERR589509,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589509/ERR589509_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589509/ERR589509_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/132_Posttreatment.RSZAXPI002666-35.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/132_Posttreatment.RSZAXPI002666-35.clean.trim.rmhost.2.fq.gz
RSZAXPI002667-37,D205_M,faeces,SAMEA2737665,ERR589510,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589510/ERR589510_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589510/ERR589510_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/205_Posttreatment.RSZAXPI002667-37.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/205_Posttreatment.RSZAXPI002667-37.clean.trim.rmhost.2.fq.gz
RSZAXPI002668-39,D124_G,faeces,SAMEA2737666,ERR589511,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589511/ERR589511_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589511/ERR589511_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/124_Posttreatment.RSZAXPI002668-39.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/124_Posttreatment.RSZAXPI002668-39.clean.trim.rmhost.2.fq.gz
RSZAXPI002669-41,D90_GM,faeces,SAMEA2737667,ERR589512,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589512/ERR589512_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589512/ERR589512_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/90_Posttreatment.RSZAXPI002669-41.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/90_Posttreatment.RSZAXPI002669-41.clean.trim.rmhost.2.fq.gz
RSZAXPI002670-43,D210_G,faeces,SAMEA2737668,ERR589513,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589513/ERR589513_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589513/ERR589513_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/210_Posttreatment.RSZAXPI002670-43.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/210_Posttreatment.RSZAXPI002670-43.clean.trim.rmhost.2.fq.gz
RSZAXPI002671-18,D202_M,dental,SAMEA2737947,ERR589514,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589514/ERR589514_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589514/ERR589514_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA202-3_tooth.RSZAXPI002671-18.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA202-3_tooth.RSZAXPI002671-18.clean.trim.rmhost.2.fq.gz
RSZAXPI002672-19,D195_N,dental,SAMEA2737948,ERR589515,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589515/ERR589515_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589515/ERR589515_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA195-3_tooth.RSZAXPI002672-19.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA195-3_tooth.RSZAXPI002672-19.clean.trim.rmhost.2.fq.gz
RSZAXPI002673-20,D197_N,dental,SAMEA2737949,ERR589516,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589516/ERR589516_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589516/ERR589516_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA197-3_tooth.RSZAXPI002673-20.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA197-3_tooth.RSZAXPI002673-20.clean.trim.rmhost.2.fq.gz
RSZAXPI002674-21,D150_G,dental,SAMEA2737950,ERR589517,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589517/ERR589517_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589517/ERR589517_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA150-3_tooth.RSZAXPI002674-21.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA150-3_tooth.RSZAXPI002674-21.clean.trim.rmhost.2.fq.gz
RSZAXPI002675-22,D209_M,dental,SAMEA2737951,ERR589518,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589518/ERR589518_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589518/ERR589518_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA209-3_tooth.RSZAXPI002675-22.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA209-3_tooth.RSZAXPI002675-22.clean.trim.rmhost.2.fq.gz
RSZAXPI002676-23,D150_G,saliva,SAMEA2738105,ERR589519,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589519/ERR589519_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589519/ERR589519_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA150-3_saliva.RSZAXPI002676-23.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA150-3_saliva.RSZAXPI002676-23.clean.trim.rmhost.2.fq.gz
RSZAXPI002677-24,D157_N,saliva,SAMEA2738106,ERR589520,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589520/ERR589520_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589520/ERR589520_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA157-3_saliva.RSZAXPI002677-24.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA157-3_saliva.RSZAXPI002677-24.clean.trim.rmhost.2.fq.gz
RSZAXPI002678-25,D197_N,saliva,SAMEA2738107,ERR589521,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589521/ERR589521_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589521/ERR589521_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA197-3_saliva.RSZAXPI002678-25.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA197-3_saliva.RSZAXPI002678-25.clean.trim.rmhost.2.fq.gz
RSZAXPI002679-26,D202_M,saliva,SAMEA2738108,ERR589522,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589522/ERR589522_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589522/ERR589522_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA202-3_saliva.RSZAXPI002679-26.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA202-3_saliva.RSZAXPI002679-26.clean.trim.rmhost.2.fq.gz
RSZAXPI002680-27,D209_M,saliva,SAMEA2738109,ERR589523,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589523/ERR589523_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589523/ERR589523_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA209-3_saliva.RSZAXPI002680-27.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA209-3_saliva.RSZAXPI002680-27.clean.trim.rmhost.2.fq.gz
RSZAXPI002681-31,D225_N,saliva,SAMEA2738110,ERR589524,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589524/ERR589524_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589524/ERR589524_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA225-3_saliva.RSZAXPI002681-31.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA225-3_saliva.RSZAXPI002681-31.clean.trim.rmhost.2.fq.gz
RSZAXPI002682-32,D240_M,saliva,SAMEA2738111,ERR589525,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589525/ERR589525_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589525/ERR589525_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA240-3_saliva.RSZAXPI002682-32.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RA240-3_saliva.RSZAXPI002682-32.clean.trim.rmhost.2.fq.gz
